Domain,Type,Sponsoring Organization,Date
.camera,generic,"Binky Moon, LLC",2025-07-19
.camp,generic,"Binky Moon, LLC",2025-07-19
.cancerresearch,generic,Not assigned,2025-07-19
.canon,generic,Canon Inc.,2025-07-19
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry,2025-07-19
.capital,generic,"Binky Moon, LLC",2025-07-19
.capitalone,generic,Capital One Financial Corporation,2025-07-19
.car,generic,XYZ.COM LLC,2025-07-19
.caravan,generic,"Caravan International, Inc.",2025-07-19
.cards,generic,"Binky Moon, LLC",2025-07-19
.care,generic,"Binky Moon, LLC",2025-07-19
.career,generic,dotCareer LLC,2025-07-19
.careers,generic,"Binky Moon, LLC",2025-07-19
.cars,generic,XYZ.COM LLC,2025-07-19
.cartier,generic,Not assigned,2025-07-19
.casa,generic,"Registry Services, LLC",2025-07-19
.case,generic,"Digity, LLC",2025-07-19
.caseih,generic,Not assigned,2025-07-19
.cash,generic,"Binky Moon, LLC",2025-07-19
.casino,generic,"Binky Moon, LLC",2025-07-19
.catering,generic,"Binky Moon, LLC",2025-07-19
.catholic,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),2025-07-19
.cba,generic,COMMONWEALTH BANK OF AUSTRALIA,2025-07-19
.cbn,generic,"The Christian Broadcasting Network, Inc.",2025-07-19
.cbre,generic,"CBRE, Inc.",2025-07-19
.cbs,generic,Not assigned,2025-07-19
.ceb,generic,Not assigned,2025-07-19
.center,generic,"Binky Moon, LLC",2025-07-19
.ceo,generic,XYZ.COM LLC,2025-07-19
.cern,generic,"European Organization for Nuclear Research (""CERN"")",2025-07-19
.cfa,generic,CFA Institute,2025-07-19
.cfd,generic,Shortdot SA,2025-07-19
.chanel,generic,Chanel International B.V.,2025-07-19
.channel,generic,Charleston Road Registry Inc.,2025-07-19
.charity,generic,Public Interest Registry (PIR),2025-07-19
.chase,generic,"JPMorgan Chase Bank, National Association",2025-07-19
.chat,generic,"Binky Moon, LLC",2025-07-19
.cheap,generic,"Binky Moon, LLC",2025-07-19
.chintai,generic,CHINTAI Corporation,2025-07-19
.chloe,generic,Not assigned,2025-07-19
.christmas,generic,XYZ.COM LLC,2025-07-19
.chrome,generic,Charleston Road Registry Inc.,2025-07-19
.chrysler,generic,Not assigned,2025-07-19
.church,generic,"Binky Moon, LLC",2025-07-19
.cipriani,generic,Hotel Cipriani Srl,2025-07-19
.circle,generic,"Amazon Registry Services, Inc.",2025-07-19
.cisco,generic,"Cisco Technology, Inc.",2025-07-19
.citadel,generic,Citadel Domain LLC,2025-07-19
.citi,generic,Citigroup Inc.,2025-07-19
.citic,generic,CITIC Group Corporation,2025-07-19
.city,generic,"Binky Moon, LLC",2025-07-19
.cityeats,generic,Not assigned,2025-07-19
.claims,generic,"Binky Moon, LLC",2025-07-19
.cleaning,generic,"Binky Moon, LLC",2025-07-19
.click,generic,Internet Naming Co.,2025-07-19
.clinic,generic,"Binky Moon, LLC",2025-07-19
.clinique,generic,The Estée Lauder Companies Inc.,2025-07-19
.clothing,generic,"Binky Moon, LLC",2025-07-19
.cloud,generic,ARUBA PEC S.p.A.,2025-07-19
.club,generic,"Registry Services, LLC",2025-07-19
.clubmed,generic,Club Méditerranée S.A.,2025-07-19
.coach,generic,"Binky Moon, LLC",2025-07-19
.codes,generic,"Binky Moon, LLC",2025-07-19
.coffee,generic,"Binky Moon, LLC",2025-07-19
.college,generic,XYZ.COM LLC,2025-07-19
.cologne,generic,dotKoeln GmbH,2025-07-19
.com,generic,VeriSign Global Registry Services,2025-07-19
.comcast,generic,Not assigned,2025-07-19
.commbank,generic,COMMONWEALTH BANK OF AUSTRALIA,2025-07-19
.community,generic,"Binky Moon, LLC",2025-07-19
.company,generic,"Binky Moon, LLC",2025-07-19
.compare,generic,"Registry Services, LLC",2025-07-19
.computer,generic,"Binky Moon, LLC",2025-07-19
.comsec,generic,"VeriSign, Inc.",2025-07-19
.condos,generic,"Binky Moon, LLC",2025-07-19
.construction,generic,"Binky Moon, LLC",2025-07-19
.consulting,generic,"Dog Beach, LLC",2025-07-19
.contact,generic,"Dog Beach, LLC",2025-07-19
.contractors,generic,"Binky Moon, LLC",2025-07-19
.cooking,generic,"Registry Services, LLC",2025-07-19
.cookingchannel,generic,Not assigned,2025-07-19
.cool,generic,"Binky Moon, LLC",2025-07-19
.corsica,generic,Collectivité de Corse,2025-07-19
.country,generic,Internet Naming Co.,2025-07-19
.coupon,generic,"Amazon Registry Services, Inc.",2025-07-19
.coupons,generic,"Binky Moon, LLC",2025-07-19
.courses,generic,"Registry Services, LLC",2025-07-19
.cpa,generic,American Institute of Certified Public Accountants,2025-07-19
.credit,generic,"Binky Moon, LLC",2025-07-19
.creditcard,generic,"Binky Moon, LLC",2025-07-19
.creditunion,generic,"DotCooperation, LLC",2025-07-19
.cricket,generic,dot Cricket Limited,2025-07-19
.crown,generic,Crown Equipment Corporation,2025-07-19
.crs,generic,Federated Co-operatives Limited,2025-07-19
.cruise,generic,Viking River Cruises (Bermuda) Ltd.,2025-07-19
.cruises,generic,"Binky Moon, LLC",2025-07-19
.csc,generic,Not assigned,2025-07-19
.cuisinella,generic,SCHMIDT GROUPE S.A.S.,2025-07-19
.cymru,generic,Nominet UK,2025-07-19
.cyou,generic,Shortdot SA,2025-07-19
.dabur,generic,Not assigned,2025-07-19
.dad,generic,Charleston Road Registry Inc.,2025-07-19
.dance,generic,"Dog Beach, LLC",2025-07-19
.data,generic,Dish DBS Corporation,2025-07-19
.date,generic,dot Date Limited,2025-07-19
.dating,generic,"Binky Moon, LLC",2025-07-19
.datsun,generic,"NISSAN MOTOR CO., LTD.",2025-07-19
.day,generic,Charleston Road Registry Inc.,2025-07-19
.dclk,generic,Charleston Road Registry Inc.,2025-07-19
.dds,generic,"Registry Services, LLC",2025-07-19
.deal,generic,"Amazon Registry Services, Inc.",2025-07-19
.dealer,generic,Intercap Registry Inc.,2025-07-19
.deals,generic,"Binky Moon, LLC",2025-07-19
.degree,generic,"Dog Beach, LLC",2025-07-19
.delivery,generic,"Binky Moon, LLC",2025-07-19
.dell,generic,Dell Inc.,2025-07-19
.deloitte,generic,Deloitte Touche Tohmatsu,2025-07-19
.delta,generic,"Delta Air Lines, Inc.",2025-07-19
.democrat,generic,"Dog Beach, LLC",2025-07-19
.dental,generic,"Binky Moon, LLC",2025-07-19
.dentist,generic,"Dog Beach, LLC",2025-07-19
.desi,generic,Emergency Back-End Registry Operator Program - ICANN,2025-07-19
.design,generic,"Registry Services, LLC",2025-07-19
.dev,generic,Charleston Road Registry Inc.,2025-07-19
.dhl,generic,Deutsche Post AG,2025-07-19
.diamonds,generic,"Binky Moon, LLC",2025-07-19
.diet,generic,XYZ.COM LLC,2025-07-19
.digital,generic,"Binky Moon, LLC",2025-07-19
.direct,generic,"Binky Moon, LLC",2025-07-19
.directory,generic,"Binky Moon, LLC",2025-07-19
.discount,generic,"Binky Moon, LLC",2025-07-19
.discover,generic,Discover Financial Services,2025-07-19
.dish,generic,Dish DBS Corporation,2025-07-19
.diy,generic,Internet Naming Co.,2025-07-19
.dnp,generic,"Dai Nippon Printing Co., Ltd.",2025-07-19
.docs,generic,Charleston Road Registry Inc.,2025-07-19
.doctor,generic,"Binky Moon, LLC",2025-07-19
.dodge,generic,Not assigned,2025-07-19
.dog,generic,"Binky Moon, LLC",2025-07-19
.doha,generic,Not assigned,2025-07-19
.domains,generic,"Binky Moon, LLC",2025-07-19
.doosan,generic,Not assigned,2025-07-19
.dot,generic,Dish DBS Corporation,2025-07-19
.download,generic,dot Support Limited,2025-07-19
.drive,generic,Charleston Road Registry Inc.,2025-07-19
.dtv,generic,Dish DBS Corporation,2025-07-19
.dubai,generic,Dubai Smart Government Department,2025-07-19
.duck,generic,Not assigned,2025-07-19
.dunlop,generic,The Goodyear Tire & Rubber Company,2025-07-19
