Domain,Type,Sponsoring Organization,Date
.immobilien,generic,"Dog Beach, LLC",2025-07-19
.inc,generic,Intercap Registry Inc.,2025-07-19
.industries,generic,"Binky Moon, LLC",2025-07-19
.infiniti,generic,"NISSAN MOTOR CO., LTD.",2025-07-19
.info,generic,Identity Digital Limited,2025-07-19
.ing,generic,Charleston Road Registry Inc.,2025-07-19
.ink,generic,"Registry Services, LLC",2025-07-19
.institute,generic,"Binky Moon, LLC",2025-07-19
.insurance,generic,fTLD Registry Services LLC,2025-07-19
.insure,generic,"Binky Moon, LLC",2025-07-19
.intel,generic,Not assigned,2025-07-19
.international,generic,"Binky Moon, LLC",2025-07-19
.intuit,generic,"Intuit Administrative Services, Inc.",2025-07-19
.investments,generic,"Binky Moon, LLC",2025-07-19
.ipiranga,generic,Ipiranga Produtos de Petroleo S.A.,2025-07-19
.irish,generic,"Binky Moon, LLC",2025-07-19
.iselect,generic,Not assigned,2025-07-19
.ismaili,generic,Fondation Aga Khan (Aga Khan Foundation),2025-07-19
.ist,generic,Istanbul Metropolitan Municipality,2025-07-19
.istanbul,generic,Istanbul Metropolitan Municipality,2025-07-19
.itau,generic,Itau Unibanco Holding S.A.,2025-07-19
.itv,generic,ITV Services Limited,2025-07-19
.iveco,generic,Not assigned,2025-07-19
.iwc,generic,Not assigned,2025-07-19
.jaguar,generic,Jaguar Land Rover Ltd,2025-07-19
.java,generic,Oracle Corporation,2025-07-19
.jcb,generic,"JCB Co., Ltd.",2025-07-19
.jcp,generic,Not assigned,2025-07-19
.jeep,generic,FCA US LLC.,2025-07-19
.jetzt,generic,"Binky Moon, LLC",2025-07-19
.jewelry,generic,"Binky Moon, LLC",2025-07-19
.jio,generic,Reliance Industries Limited,2025-07-19
.jlc,generic,Not assigned,2025-07-19
.jll,generic,Jones Lang LaSalle Incorporated,2025-07-19
.jmp,generic,Matrix IP LLC,2025-07-19
.jnj,generic,"Johnson & Johnson Services, Inc.",2025-07-19
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,2025-07-19
.jot,generic,"Amazon Registry Services, Inc.",2025-07-19
.joy,generic,"Amazon Registry Services, Inc.",2025-07-19
.jpmorgan,generic,"JPMorgan Chase Bank, National Association",2025-07-19
.jprs,generic,"Japan Registry Services Co., Ltd.",2025-07-19
.juegos,generic,"Dog Beach, LLC",2025-07-19
.juniper,generic,"JUNIPER NETWORKS, INC.",2025-07-19
.kaufen,generic,"Dog Beach, LLC",2025-07-19
.kddi,generic,KDDI CORPORATION,2025-07-19
.kerryhotels,generic,Kerry Trading Co. Limited,2025-07-19
.kerrylogistics,generic,Not assigned,2025-07-19
.kerryproperties,generic,Kerry Trading Co. Limited,2025-07-19
.kfh,generic,Kuwait Finance House,2025-07-19
.kia,generic,KIA MOTORS CORPORATION,2025-07-19
.kids,generic,DotKids Foundation Limited,2025-07-19
.kim,generic,Identity Digital Limited,2025-07-19
.kinder,generic,Not assigned,2025-07-19
.kindle,generic,"Amazon Registry Services, Inc.",2025-07-19
.kitchen,generic,"Binky Moon, LLC",2025-07-19
.kiwi,generic,DOT KIWI LIMITED,2025-07-19
.koeln,generic,dotKoeln GmbH,2025-07-19
.komatsu,generic,Komatsu Ltd.,2025-07-19
.kosher,generic,Kosher Marketing Assets LLC,2025-07-19
.kpmg,generic,KPMG International Cooperative (KPMG International Genossenschaft),2025-07-19
.kpn,generic,Koninklijke KPN N.V.,2025-07-19
.krd,generic,KRG Department of Information Technology,2025-07-19
.kred,generic,KredTLD Pty Ltd,2025-07-19
.kuokgroup,generic,Kerry Trading Co. Limited,2025-07-19
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,2025-07-19
.lacaixa,generic,"Fundación Bancaria Caixa d'Estalvis i Pensions de Barcelona, ""la Caixa""",2025-07-19
.ladbrokes,generic,Not assigned,2025-07-19
.lamborghini,generic,Automobili Lamborghini S.p.A.,2025-07-19
.lamer,generic,The Estée Lauder Companies Inc.,2025-07-19
.lancaster,generic,Not assigned,2025-07-19
.lancia,generic,Not assigned,2025-07-19
.lancome,generic,Not assigned,2025-07-19
.land,generic,"Binky Moon, LLC",2025-07-19
.landrover,generic,Jaguar Land Rover Ltd,2025-07-19
.lanxess,generic,LANXESS Corporation,2025-07-19
.lasalle,generic,Jones Lang LaSalle Incorporated,2025-07-19
.lat,generic,XYZ.COM LLC,2025-07-19
.latino,generic,Dish DBS Corporation,2025-07-19
.latrobe,generic,La Trobe University,2025-07-19
.law,generic,"Registry Services, LLC",2025-07-19
.lawyer,generic,"Dog Beach, LLC",2025-07-19
.lds,generic,"IRI Domain Management, LLC",2025-07-19
.lease,generic,"Binky Moon, LLC",2025-07-19
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,2025-07-19
.lefrak,generic,"LeFrak Organization, Inc.",2025-07-19
.legal,generic,"Binky Moon, LLC",2025-07-19
.lego,generic,LEGO Juris A/S,2025-07-19
.lexus,generic,TOYOTA MOTOR CORPORATION,2025-07-19
.lgbt,generic,Identity Digital Limited,2025-07-19
.liaison,generic,Not assigned,2025-07-19
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,2025-07-19
.life,generic,"Binky Moon, LLC",2025-07-19
.lifeinsurance,generic,American Council of Life Insurers,2025-07-19
.lifestyle,generic,Internet Naming Co.,2025-07-19
.lighting,generic,"Binky Moon, LLC",2025-07-19
.like,generic,"Amazon Registry Services, Inc.",2025-07-19
.lilly,generic,Eli Lilly and Company,2025-07-19
.limited,generic,"Binky Moon, LLC",2025-07-19
.limo,generic,"Binky Moon, LLC",2025-07-19
.lincoln,generic,Ford Motor Company,2025-07-19
.linde,generic,Not assigned,2025-07-19
.link,generic,Nova Registry Ltd.,2025-07-19
.lipsy,generic,Not assigned,2025-07-19
.live,generic,"Dog Beach, LLC",2025-07-19
.living,generic,Internet Naming Co.,2025-07-19
.lixil,generic,Not assigned,2025-07-19
.llc,generic,Identity Digital Limited,2025-07-19
.llp,generic,Intercap Registry Inc.,2025-07-19
.loan,generic,dot Loan Limited,2025-07-19
.loans,generic,"Binky Moon, LLC",2025-07-19
.locker,generic,Orange Domains LLC,2025-07-19
.locus,generic,Locus Analytics LLC,2025-07-19
.loft,generic,Not assigned,2025-07-19
.lol,generic,XYZ.COM LLC,2025-07-19
.london,generic,Dot London Domains Limited,2025-07-19
.lotte,generic,"Lotte Holdings Co., Ltd.",2025-07-19
.lotto,generic,Identity Digital Limited,2025-07-19
.love,generic,Waterford Limited,2025-07-19
.lpl,generic,"LPL Holdings, Inc.",2025-07-19
.lplfinancial,generic,"LPL Holdings, Inc.",2025-07-19
.ltd,generic,"Binky Moon, LLC",2025-07-19
.ltda,generic,InterNetX Corp.,2025-07-19
.lundbeck,generic,H. Lundbeck A/S,2025-07-19
.lupin,generic,Not assigned,2025-07-19
.luxe,generic,"Registry Services, LLC",2025-07-19
.luxury,generic,Luxury Partners LLC,2025-07-19
.macys,generic,Not assigned,2025-07-19
.madrid,generic,Comunidad de Madrid,2025-07-19
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),2025-07-19
.maison,generic,"Binky Moon, LLC",2025-07-19
.makeup,generic,XYZ.COM LLC,2025-07-19
.man,generic,MAN Truck & Bus SE,2025-07-19
.management,generic,"Binky Moon, LLC",2025-07-19
.mango,generic,PUNTO FA S.L.,2025-07-19
.map,generic,Charleston Road Registry Inc.,2025-07-19
.market,generic,"Dog Beach, LLC",2025-07-19
.marketing,generic,"Binky Moon, LLC",2025-07-19
.markets,generic,"Dog Beach, LLC",2025-07-19
.marriott,generic,Marriott Worldwide Corporation,2025-07-19
.marshalls,generic,"The TJX Companies, Inc.",2025-07-19
.maserati,generic,Not assigned,2025-07-19
.mattel,generic,"Mattel IT Services, Inc.",2025-07-19
.mba,generic,"Binky Moon, LLC",2025-07-19
.mcd,generic,Not assigned,2025-07-19
.mcdonalds,generic,Not assigned,2025-07-19
.mckinsey,generic,"McKinsey Holdings, Inc.",2025-07-19
.med,generic,Medistry LLC,2025-07-19
.media,generic,"Binky Moon, LLC",2025-07-19
.meet,generic,Charleston Road Registry Inc.,2025-07-19
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2025-07-19
.meme,generic,Charleston Road Registry Inc.,2025-07-19
.memorial,generic,"Dog Beach, LLC",2025-07-19
.men,generic,Exclusive Registry Limited,2025-07-19
.menu,generic,Dot Menu Registry LLC,2025-07-19
.meo,generic,Not assigned,2025-07-19
.merckmsd,generic,"MSD Registry Holdings, Inc.",2025-07-19
.metlife,generic,Not assigned,2025-07-19
.miami,generic,"Registry Services, LLC",2025-07-19
.microsoft,generic,Microsoft Corporation,2025-07-19
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,2025-07-19
.mint,generic,"Intuit Administrative Services, Inc.",2025-07-19
.mit,generic,Massachusetts Institute of Technology,2025-07-19
.mitsubishi,generic,Mitsubishi Corporation,2025-07-19
.mlb,generic,"MLB Advanced Media DH, LLC",2025-07-19
.mls,generic,The Canadian Real Estate Association,2025-07-19
.mma,generic,MMA IARD,2025-07-19
.mobi,generic,Identity Digital Limited,2025-07-19
.mobile,generic,Dish DBS Corporation,2025-07-19
.mobily,generic,Not assigned,2025-07-19
.moda,generic,"Dog Beach, LLC",2025-07-19
.moe,generic,Interlink Systems Innovation Institute K.K.,2025-07-19
.moi,generic,"Amazon Registry Services, Inc.",2025-07-19
.mom,generic,XYZ.COM LLC,2025-07-19
.monash,generic,Monash University,2025-07-19
.money,generic,"Binky Moon, LLC",2025-07-19
.monster,generic,XYZ.COM LLC,2025-07-19
.montblanc,generic,Not assigned,2025-07-19
.mopar,generic,Not assigned,2025-07-19
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",2025-07-19
.mortgage,generic,"Dog Beach, LLC",2025-07-19
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2025-07-19
.moto,generic,"Motorola Trademark Holdings, LLC",2025-07-19
.motorcycles,generic,XYZ.COM LLC,2025-07-19
.mov,generic,Charleston Road Registry Inc.,2025-07-19
.movie,generic,"Binky Moon, LLC",2025-07-19
.movistar,generic,Not assigned,2025-07-19
.msd,generic,"MSD Registry Holdings, Inc.",2025-07-19
.mtn,generic,MTN Dubai Limited,2025-07-19
.mtpc,generic,Not assigned,2025-07-19
.mtr,generic,MTR Corporation Limited,2025-07-19
.music,generic,DotMusic Limited,2025-07-19
.mutual,generic,Not assigned,2025-07-19
.mutuelle,generic,Not assigned,2025-07-19
.nab,generic,National Australia Bank Limited,2025-07-19
.nadex,generic,Not assigned,2025-07-19
.nagoya,generic,"GMO Registry, Inc.",2025-07-19
.nationwide,generic,Not assigned,2025-07-19
.natura,generic,Not assigned,2025-07-19
.navy,generic,"Dog Beach, LLC",2025-07-19
.nba,generic,"NBA REGISTRY, LLC",2025-07-19
.nec,generic,NEC Corporation,2025-07-19
.net,generic,VeriSign Global Registry Services,2025-07-19
.netbank,generic,COMMONWEALTH BANK OF AUSTRALIA,2025-07-19
.netflix,generic,"Netflix, Inc.",2025-07-19
.network,generic,"Binky Moon, LLC",2025-07-19
.neustar,generic,"NeuStar, Inc.",2025-07-19
.new,generic,Charleston Road Registry Inc.,2025-07-19
.newholland,generic,Not assigned,2025-07-19
.news,generic,"Dog Beach, LLC",2025-07-19
.next,generic,Next plc,2025-07-19
.nextdirect,generic,Next plc,2025-07-19
.nexus,generic,Charleston Road Registry Inc.,2025-07-19
.nfl,generic,NFL Reg Ops LLC,2025-07-19
.ngo,generic,Public Interest Registry,2025-07-19
.nhk,generic,Japan Broadcasting Corporation (NHK),2025-07-19
.nico,generic,"DWANGO Co., Ltd.",2025-07-19
.nike,generic,"NIKE, Inc.",2025-07-19
.nikon,generic,NIKON CORPORATION,2025-07-19
.ninja,generic,"Dog Beach, LLC",2025-07-19
.nissan,generic,"NISSAN MOTOR CO., LTD.",2025-07-19
.nissay,generic,Nippon Life Insurance Company,2025-07-19
.nokia,generic,Nokia Corporation,2025-07-19
.northwesternmutual,generic,Not assigned,2025-07-19
.norton,generic,Gen Digital Inc.,2025-07-19
.now,generic,"Amazon Registry Services, Inc.",2025-07-19
.nowruz,generic,Emergency Back-End Registry Operator Program - ICANN,2025-07-19
.nowtv,generic,Starbucks (HK) Limited,2025-07-19
.nra,generic,"NRA Holdings Company, INC.",2025-07-19
.nrw,generic,Minds + Machines GmbH,2025-07-19
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,2025-07-19
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,2025-07-19
.obi,generic,OBI Group Holding SE & Co. KGaA,2025-07-19
.observer,generic,"Fegistry, LLC",2025-07-19
.off,generic,Not assigned,2025-07-19
.office,generic,Microsoft Corporation,2025-07-19
.okinawa,generic,"BRregistry, Inc.",2025-07-19
.olayan,generic,Competrol (Luxembourg) Sarl,2025-07-19
.olayangroup,generic,Competrol (Luxembourg) Sarl,2025-07-19
.oldnavy,generic,Not assigned,2025-07-19
.ollo,generic,Dish DBS Corporation,2025-07-19
.omega,generic,The Swatch Group Ltd,2025-07-19
.one,generic,One.com A/S,2025-07-19
.ong,generic,Public Interest Registry,2025-07-19
.onl,generic,iRegistry GmbH,2025-07-19
.online,generic,Radix Technologies Inc. SEZC,2025-07-19
.onyourside,generic,Not assigned,2025-07-19
.ooo,generic,INFIBEAM AVENUES LIMITED,2025-07-19
.open,generic,"American Express Travel Related Services Company, Inc.",2025-07-19
.oracle,generic,Oracle Corporation,2025-07-19
.orange,generic,Orange Brand Services Limited,2025-07-19
.org,generic,Public Interest Registry (PIR),2025-07-19
.organic,generic,Identity Digital Limited,2025-07-19
.orientexpress,generic,Not assigned,2025-07-19
.origins,generic,The Estée Lauder Companies Inc.,2025-07-19
.osaka,generic,"Osaka Registry Co., Ltd.",2025-07-19
.otsuka,generic,"Otsuka Holdings Co., Ltd.",2025-07-19
.ott,generic,Dish DBS Corporation,2025-07-19
.ovh,generic,OVH SAS,2025-07-19
.page,generic,Charleston Road Registry Inc.,2025-07-19
.pamperedchef,generic,Not assigned,2025-07-19
.panasonic,generic,Panasonic Corporation,2025-07-19
.panerai,generic,Not assigned,2025-07-19
.paris,generic,City of Paris,2025-07-19
.pars,generic,Emergency Back-End Registry Operator Program - ICANN,2025-07-19
.partners,generic,"Binky Moon, LLC",2025-07-19
.parts,generic,"Binky Moon, LLC",2025-07-19
.party,generic,Blue Sky Registry Limited,2025-07-19
.passagens,generic,Not assigned,2025-07-19
.pay,generic,"Amazon Registry Services, Inc.",2025-07-19
.pccw,generic,PCCW Enterprises Limited,2025-07-19
.pet,generic,Identity Digital Limited,2025-07-19
.pfizer,generic,Pfizer Inc.,2025-07-19
.pharmacy,generic,National Association of Boards of Pharmacy,2025-07-19
.phd,generic,Charleston Road Registry Inc.,2025-07-19
.philips,generic,Koninklijke Philips N.V.,2025-07-19
.phone,generic,Dish DBS Corporation,2025-07-19
.photo,generic,"Registry Services, LLC",2025-07-19
.photography,generic,"Binky Moon, LLC",2025-07-19
.photos,generic,"Binky Moon, LLC",2025-07-19
.physio,generic,PhysBiz Pty Ltd,2025-07-19
.piaget,generic,Not assigned,2025-07-19
.pics,generic,XYZ.COM LLC,2025-07-19
.pictet,generic,Banque Pictet & Cie SA,2025-07-19
.pictures,generic,"Binky Moon, LLC",2025-07-19
.pid,generic,"Top Level Spectrum, Inc.",2025-07-19
.pin,generic,"Amazon Registry Services, Inc.",2025-07-19
.ping,generic,"Ping Registry Provider, Inc.",2025-07-19
.pink,generic,Identity Digital Limited,2025-07-19
.pioneer,generic,Pioneer Corporation,2025-07-19
.pizza,generic,"Binky Moon, LLC",2025-07-19
.place,generic,"Binky Moon, LLC",2025-07-19
.play,generic,Charleston Road Registry Inc.,2025-07-19
.playstation,generic,Sony Computer Entertainment Inc.,2025-07-19
.plumbing,generic,"Binky Moon, LLC",2025-07-19
.plus,generic,"Binky Moon, LLC",2025-07-19
.pnc,generic,"PNC Domain Co., LLC",2025-07-19
.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-07-19
.poker,generic,Identity Digital Limited,2025-07-19
.politie,generic,Politie Nederland,2025-07-19
.porn,generic,ICM Registry PN LLC,2025-07-19
.pramerica,generic,Not assigned,2025-07-19
.praxi,generic,Praxi S.p.A.,2025-07-19
.press,generic,Radix Technologies Inc.,2025-07-19
.prime,generic,"Amazon Registry Services, Inc.",2025-07-19
.prod,generic,Charleston Road Registry Inc.,2025-07-19
.productions,generic,"Binky Moon, LLC",2025-07-19
.prof,generic,Charleston Road Registry Inc.,2025-07-19
.progressive,generic,Progressive Casualty Insurance Company,2025-07-19
.promo,generic,Identity Digital Limited,2025-07-19
.properties,generic,"Binky Moon, LLC",2025-07-19
.property,generic,Digital Property Infrastructure Limited,2025-07-19
.protection,generic,XYZ.COM LLC,2025-07-19
.pru,generic,"Prudential Financial, Inc.",2025-07-19
.prudential,generic,"Prudential Financial, Inc.",2025-07-19
.pub,generic,"Dog Beach, LLC",2025-07-19
.pwc,generic,PricewaterhouseCoopers LLP,2025-07-19
.qpon,generic,DOTQPON LLC.,2025-07-19
.quebec,generic,PointQuébec Inc,2025-07-19
.quest,generic,XYZ.COM LLC,2025-07-19
.qvc,generic,Not assigned,2025-07-19
.racing,generic,Premier Registry Limited,2025-07-19
.radio,generic,European Broadcasting Union (EBU),2025-07-19
.raid,generic,Not assigned,2025-07-19
.read,generic,"Amazon Registry Services, Inc.",2025-07-19
.realestate,generic,dotRealEstate LLC,2025-07-19
.realtor,generic,Real Estate Domains LLC,2025-07-19
.realty,generic,Internet Naming Co.,2025-07-19
.recipes,generic,"Binky Moon, LLC",2025-07-19
.red,generic,Identity Digital Limited,2025-07-19
.redstone,generic,"Redstone Haute Couture Co., Ltd.",2025-07-19
.redumbrella,generic,"Travelers TLD, LLC",2025-07-19
.rehab,generic,"Dog Beach, LLC",2025-07-19
.reise,generic,"Binky Moon, LLC",2025-07-19
.reisen,generic,"Binky Moon, LLC",2025-07-19
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",2025-07-19
.reliance,generic,Reliance Industries Limited,2025-07-19
.ren,generic,ZDNS International Limited,2025-07-19
.rent,generic,XYZ.COM LLC,2025-07-19
.rentals,generic,"Binky Moon, LLC",2025-07-19
.repair,generic,"Binky Moon, LLC",2025-07-19
.report,generic,"Binky Moon, LLC",2025-07-19
.republican,generic,"Dog Beach, LLC",2025-07-19
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2025-07-19
.restaurant,generic,"Binky Moon, LLC",2025-07-19
.review,generic,dot Review Limited,2025-07-19
.reviews,generic,"Dog Beach, LLC",2025-07-19
.rexroth,generic,Robert Bosch GMBH,2025-07-19
.rich,generic,iRegistry GmbH,2025-07-19
.richardli,generic,Pacific Century Asset Management (HK) Limited,2025-07-19
.ricoh,generic,"Ricoh Company, Ltd.",2025-07-19
.rightathome,generic,Not assigned,2025-07-19
.ril,generic,Reliance Industries Limited,2025-07-19
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,2025-07-19
.rip,generic,"Dog Beach, LLC",2025-07-19
.rmit,generic,Not assigned,2025-07-19
.rocher,generic,Not assigned,2025-07-19
.rocks,generic,"Dog Beach, LLC",2025-07-19
.rodeo,generic,"Registry Services, LLC",2025-07-19
.rogers,generic,Rogers Communications Canada Inc.,2025-07-19
.room,generic,"Amazon Registry Services, Inc.",2025-07-19
.rsvp,generic,Charleston Road Registry Inc.,2025-07-19
.rugby,generic,World Rugby Strategic Developments Limited,2025-07-19
.ruhr,generic,dotSaarland GmbH,2025-07-19
.run,generic,"Binky Moon, LLC",2025-07-19
.rwe,generic,RWE AG,2025-07-19
.ryukyu,generic,"BRregistry, Inc.",2025-07-19
.saarland,generic,dotSaarland GmbH,2025-07-19
.safe,generic,"Amazon Registry Services, Inc.",2025-07-19
.safety,generic,"Safety Registry Services, LLC.",2025-07-19
.sakura,generic,SAKURA internet Inc.,2025-07-19
.sale,generic,"Dog Beach, LLC",2025-07-19
.salon,generic,"Binky Moon, LLC",2025-07-19
.samsclub,generic,"Wal-Mart Stores, Inc.",2025-07-19
.samsung,generic,"SAMSUNG SDS CO., LTD",2025-07-19
.sandvik,generic,Sandvik AB,2025-07-19
.sandvikcoromant,generic,Sandvik AB,2025-07-19
.sanofi,generic,Sanofi,2025-07-19
.sap,generic,SAP AG,2025-07-19
.sapo,generic,Not assigned,2025-07-19
.sarl,generic,"Binky Moon, LLC",2025-07-19
.sas,generic,Research IP LLC,2025-07-19
.save,generic,"Amazon Registry Services, Inc.",2025-07-19
.saxo,generic,Saxo Bank A/S,2025-07-19
.sbi,generic,STATE BANK OF INDIA,2025-07-19
.sbs,generic,Shortdot SA,2025-07-19
.sca,generic,Not assigned,2025-07-19
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",2025-07-19
.schaeffler,generic,Schaeffler Technologies AG & Co. KG,2025-07-19
.schmidt,generic,SCHMIDT GROUPE S.A.S.,2025-07-19
.scholarships,generic,"Scholarships.com, LLC",2025-07-19
.school,generic,"Binky Moon, LLC",2025-07-19
.schule,generic,"Binky Moon, LLC",2025-07-19
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,2025-07-19
.science,generic,dot Science Limited,2025-07-19
.scjohnson,generic,Not assigned,2025-07-19
.scor,generic,Not assigned,2025-07-19
.scot,generic,Dot Scot Registry Limited,2025-07-19
.search,generic,Charleston Road Registry Inc.,2025-07-19
.seat,generic,"SEAT, S.A. (Sociedad Unipersonal)",2025-07-19
.secure,generic,"Amazon Registry Services, Inc.",2025-07-19
.security,generic,XYZ.COM LLC,2025-07-19
.seek,generic,Seek Limited,2025-07-19
.select,generic,"Registry Services, LLC",2025-07-19
.sener,generic,"Sener Ingeniería y Sistemas, S.A.",2025-07-19
.services,generic,"Binky Moon, LLC",2025-07-19
.ses,generic,Not assigned,2025-07-19
.seven,generic,Seven West Media Ltd,2025-07-19
.sew,generic,SEW-EURODRIVE GmbH & Co KG,2025-07-19
.sex,generic,ICM Registry SX LLC,2025-07-19
.sexy,generic,Internet Naming Co.,2025-07-19
.sfr,generic,Societe Francaise du Radiotelephone - SFR,2025-07-19
.shangrila,generic,Shangri-La International Hotel Management Limited,2025-07-19
.sharp,generic,Sharp Corporation,2025-07-19
.shaw,generic,Not assigned,2025-07-19
.shell,generic,Shell Information Technology International Inc,2025-07-19
.shia,generic,Emergency Back-End Registry Operator Program - ICANN,2025-07-19
.shiksha,generic,Identity Digital Limited,2025-07-19
.shoes,generic,"Binky Moon, LLC",2025-07-19
.shop,generic,"GMO Registry, Inc.",2025-07-19
.shopping,generic,"Binky Moon, LLC",2025-07-19
.shouji,generic,QIHOO 360 TECHNOLOGY CO. LTD.,2025-07-19
.show,generic,"Binky Moon, LLC",2025-07-19
.showtime,generic,Not assigned,2025-07-19
.shriram,generic,Not assigned,2025-07-19
.silk,generic,"Amazon Registry Services, Inc.",2025-07-19
.sina,generic,Sina Corporation,2025-07-19
.singles,generic,"Binky Moon, LLC",2025-07-19
.site,generic,Radix Technologies Inc. SEZC,2025-07-19
.ski,generic,Identity Digital Limited,2025-07-19
.skin,generic,XYZ.COM LLC,2025-07-19
.sky,generic,Sky UK Limited,2025-07-19
.skype,generic,Microsoft Corporation,2025-07-19
.sling,generic,DISH Technologies L.L.C.,2025-07-19
.smart,generic,"Smart Communications, Inc. (SMART)",2025-07-19
.smile,generic,"Amazon Registry Services, Inc.",2025-07-19
.sncf,generic,Société Nationale SNCF,2025-07-19
.soccer,generic,"Binky Moon, LLC",2025-07-19
.social,generic,"Dog Beach, LLC",2025-07-19
.softbank,generic,SoftBank Group Corp.,2025-07-19
.software,generic,"Dog Beach, LLC",2025-07-19
.sohu,generic,Sohu.com Limited,2025-07-19
.solar,generic,"Binky Moon, LLC",2025-07-19
.solutions,generic,"Binky Moon, LLC",2025-07-19
.song,generic,"Amazon Registry Services, Inc.",2025-07-19
.sony,generic,Sony Corporation,2025-07-19
.soy,generic,Charleston Road Registry Inc.,2025-07-19
.spa,generic,Asia Spa and Wellness Promotion Council Limited,2025-07-19
.space,generic,Radix Technologies Inc.,2025-07-19
.spiegel,generic,Not assigned,2025-07-19
.sport,generic,SportAccord,2025-07-19
.spot,generic,"Amazon Registry Services, Inc.",2025-07-19
.spreadbetting,generic,Not assigned,2025-07-19
.srl,generic,InterNetX Corp.,2025-07-19
.srt,generic,Not assigned,2025-07-19
.stada,generic,STADA Arzneimittel AG,2025-07-19
.staples,generic,"Staples, Inc.",2025-07-19
.star,generic,Star India Private Limited,2025-07-19
.starhub,generic,Not assigned,2025-07-19
.statebank,generic,STATE BANK OF INDIA,2025-07-19
.statefarm,generic,State Farm Mutual Automobile Insurance Company,2025-07-19
.statoil,generic,Not assigned,2025-07-19
.stc,generic,Saudi Telecom Company,2025-07-19
.stcgroup,generic,Saudi Telecom Company,2025-07-19
.stockholm,generic,Stockholms kommun,2025-07-19
.storage,generic,XYZ.COM LLC,2025-07-19
.store,generic,Radix Technologies Inc.,2025-07-19
.stream,generic,dot Stream Limited,2025-07-19
.studio,generic,"Dog Beach, LLC",2025-07-19
.study,generic,"Registry Services, LLC",2025-07-19
.style,generic,"Binky Moon, LLC",2025-07-19
.sucks,generic,Vox Populi Registry Ltd.,2025-07-19
.supplies,generic,"Binky Moon, LLC",2025-07-19
.supply,generic,"Binky Moon, LLC",2025-07-19
.support,generic,"Binky Moon, LLC",2025-07-19
.surf,generic,"Registry Services, LLC",2025-07-19
.surgery,generic,"Binky Moon, LLC",2025-07-19
.suzuki,generic,SUZUKI MOTOR CORPORATION,2025-07-19
.swatch,generic,The Swatch Group Ltd,2025-07-19
.swiftcover,generic,Not assigned,2025-07-19
.swiss,generic,Swiss Confederation,2025-07-19
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet",2025-07-19
.symantec,generic,Not assigned,2025-07-19
.systems,generic,"Binky Moon, LLC",2025-07-19
.tab,generic,Tabcorp Holdings Limited,2025-07-19
.taipei,generic,Taipei City Government,2025-07-19
.talk,generic,"Amazon Registry Services, Inc.",2025-07-19
.taobao,generic,Alibaba Group Holding Limited,2025-07-19
.target,generic,"Target Domain Holdings, LLC",2025-07-19
.tatamotors,generic,Tata Motors Ltd,2025-07-19
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic""",2025-07-19
.tattoo,generic,"Registry Services, LLC",2025-07-19
.tax,generic,"Binky Moon, LLC",2025-07-19
.taxi,generic,"Binky Moon, LLC",2025-07-19
.tci,generic,Emergency Back-End Registry Operator Program - ICANN,2025-07-19
.tdk,generic,TDK Corporation,2025-07-19
.team,generic,"Binky Moon, LLC",2025-07-19
.tech,generic,Radix Technologies Inc.,2025-07-19
.technology,generic,"Binky Moon, LLC",2025-07-19
.telecity,generic,Not assigned,2025-07-19
.telefonica,generic,Not assigned,2025-07-19
.temasek,generic,Temasek Holdings (Private) Limited,2025-07-19
.tennis,generic,"Binky Moon, LLC",2025-07-19
.teva,generic,Teva Pharmaceutical Industries Limited,2025-07-19
.thd,generic,"Home Depot Product Authority, LLC",2025-07-19
.theater,generic,"Binky Moon, LLC",2025-07-19
.theatre,generic,XYZ.COM LLC,2025-07-19
.tiaa,generic,Teachers Insurance and Annuity Association of America,2025-07-19
.tickets,generic,XYZ.COM LLC,2025-07-19
.tienda,generic,"Binky Moon, LLC",2025-07-19
.tiffany,generic,Not assigned,2025-07-19
.tips,generic,"Binky Moon, LLC",2025-07-19
.tires,generic,"Binky Moon, LLC",2025-07-19
.tirol,generic,punkt Tirol GmbH,2025-07-19
.tjmaxx,generic,"The TJX Companies, Inc.",2025-07-19
.tjx,generic,"The TJX Companies, Inc.",2025-07-19
